Date,Open,Low,High,Close,Volume
"Dec 16, 2015",2046.5,2042.43,2076.72,2073.07,"680,651,000"
"Dec 15, 2015",2025.55,2025.55,2053.87,2043.41,"689,853,000"
"Dec 14, 2015",2013.37,1993.26,2022.92,2021.94,"771,571,000"
"Dec 10, 2015",2047.93,2045.67,2067.65,2052.23,"597,997,000"
"Dec 09, 2015",2061.17,2036.53,2080.33,2047.62,"719,904,000"
"Dec 07, 2015",2090.42,2066.78,2090.42,2077.07,"639,169,000"
"Dec 04, 2015",2051.24,2051.24,2093.84,2091.69,"740,000,000"
"Dec 03, 2015",2080.71,2042.35,2085,2049.62,"749,534,000"
"Dec 01, 2015",2082.93,2082.93,2103.37,2102.63,"591,053,000"
"Nov 30, 2015",2090.95,2080.41,2093.81,2080.41,"818,038,000"
"Nov 25, 2015",2089.3,2086.3,2093,2088.87,"440,227,000"
"Nov 24, 2015",2084.42,2070.29,2094.12,2089.14,"607,006,000"
"Nov 20, 2015",2082.82,2082.82,2097.06,2089.17,"689,172,000"
"Nov 19, 2015",2083.7,2078.76,2086.74,2081.24,"536,851,000"
"Nov 17, 2015",2053.67,2045.9,2066.69,2050.44,"677,184,000"
"Nov 16, 2015",2022.08,2019.39,2053.22,2053.19,"607,470,000"
"Nov 13, 2015",2044.64,2022.02,2044.64,2023.04,"652,851,000"
"Nov 11, 2015",2083.41,2074.85,2086.94,2075,"511,666,000"
"Nov 10, 2015",2077.19,2069.91,2083.67,2081.72,"564,878,000"
"Nov 06, 2015",2098.6,2083.74,2101.91,2099.2,"661,105,000"
"Nov 05, 2015",2101.68,2090.41,2108.78,2099.93,"589,737,000"
"Nov 03, 2015",2102.63,2097.51,2116.48,2109.79,"588,205,000"
"Nov 02, 2015",2080.76,2080.76,2106.2,2104.05,"579,601,000"
"Oct 30, 2015",2090,2079.34,2094.32,2079.36,"789,097,000"
"Oct 28, 2015",2066.48,2063.11,2090.35,2090.35,"660,968,000"
"Oct 27, 2015",2068.75,2058.84,2070.37,2065.89,"650,112,000"
"Oct 23, 2015",2058.19,2058.19,2079.74,2075.15,"745,335,000"
"Oct 22, 2015",2021.88,2021.88,2055.2,2052.51,"786,028,000"
"Oct 21, 2015",2033.47,2017.22,2037.97,2018.94,"610,204,000"
"Oct 19, 2015",2031.73,2022.31,2034.45,2033.66,"600,551,000"
"Oct 16, 2015",2024.37,2020.46,2033.54,2033.11,"711,470,000"
"Oct 14, 2015",2003.66,1990.73,2009.56,1994.24,"629,947,000"
"Oct 13, 2015",2015,2001.78,2022.34,2003.69,"567,343,000"
"Oct 12, 2015",2015.65,2010.55,2018.66,2017.46,"464,138,000"
"Oct 08, 2015",1994.01,1987.53,2016.5,2013.43,"604,478,000"
"Oct 07, 2015",1982.34,1976.44,1999.31,1995.83,"735,394,000"
"Oct 05, 2015",1954.33,1954.33,1989.17,1987.05,"725,881,000"
"Oct 02, 2015",1921.77,1893.7,1951.36,1951.36,"763,255,000"
"Oct 01, 2015",1919.65,1900.7,1927.21,1923.82,"676,563,000"
"Sep 29, 2015",1881.9,1871.91,1899.48,1884.09,"735,886,000"
"Sep 28, 2015",1929.18,1879.21,1929.18,1881.77,"776,043,000"
"Sep 24, 2015",1934.81,1908.92,1937.17,1932.24,"715,118,000"
"Sep 23, 2015",1943.24,1932.57,1949.52,1938.76,"505,058,000"
"Sep 21, 2015",1960.84,1955.8,1979.64,1966.97,"570,775,000"
"Sep 18, 2015",1989.66,1953.45,1989.66,1958.03,"1,860,981,000"
"Sep 17, 2015",1995.33,1986.73,2020.86,1990.2,"704,674,000"
"Sep 15, 2015",1955.1,1954.3,1983.19,1978.09,"538,205,000"
"Sep 14, 2015",1963.06,1948.27,1963.06,1953.03,"546,552,000"
"Sep 10, 2015",1941.59,1937.19,1965.29,1952.29,"668,618,000"
"Sep 09, 2015",1971.45,1937.88,1988.63,1942.04,"666,981,000"
"Sep 08, 2015",1927.3,1927.3,1970.42,1969.41,"683,168,000"
"Sep 04, 2015",1947.76,1911.21,1947.76,1921.22,"665,450,000"
"Sep 03, 2015",1950.79,1944.72,1975.01,1951.13,"632,699,000"
"Sep 01, 2015",1970.09,1903.07,1970.09,1913.85,"870,125,000"
"Aug 31, 2015",1986.73,1965.98,1986.73,1972.18,"764,741,000"
"Aug 28, 2015",1986.06,1975.19,1993.48,1988.87,"723,484,000"
"Aug 26, 2015",1872.75,1872.75,1943.09,1940.51,"1,028,890,000"
"Aug 25, 2015",1898.08,1867.08,1948.04,1867.61,"1,051,285,000"
"Aug 21, 2015",2034.08,1970.89,2034.08,1970.89,"1,064,386,000"
"Aug 20, 2015",2076.61,2035.73,2076.61,2035.73,"674,625,000"
"Aug 19, 2015",2095.69,2070.53,2096.17,2079.61,"571,231,000"
"Aug 17, 2015",2089.7,2079.3,2102.87,2102.44,"426,042,000"
"Aug 14, 2015",2083.15,2080.61,2092.45,2091.54,"448,636,000"
"Aug 12, 2015",2081.1,2052.09,2089.06,2086.05,"632,320,000"
"Aug 11, 2015",2102.66,2076.49,2102.66,2084.07,"562,080,000"
"Aug 10, 2015",2080.98,2080.98,2105.35,2104.18,"536,952,000"
"Aug 06, 2015",2100.75,2075.53,2103.32,2083.56,"611,690,000"
"Aug 05, 2015",2095.27,2095.27,2112.66,2099.84,"580,780,000"
"Aug 03, 2015",2104.49,2087.31,2105.7,2098.04,"546,235,000"
"Jul 31, 2015",2111.6,2102.07,2114.24,2103.84,"639,716,000"
"Jul 29, 2015",2094.7,2094.08,2110.6,2108.57,"568,110,000"
"Jul 28, 2015",2070.75,2069.09,2095.6,2093.25,"612,199,000"
"Jul 27, 2015",2078.19,2063.52,2078.19,2067.64,"658,424,000"
"Jul 23, 2015",2114.16,2098.63,2116.87,2102.15,"583,756,000"
"Jul 22, 2015",2118.21,2110,2118.51,2114.15,"604,850,000"
"Jul 20, 2015",2126.85,2123.65,2132.82,2128.28,"498,063,000"
"Jul 17, 2015",2126.8,2119.88,2128.91,2126.64,"626,055,000"
"Jul 16, 2015",2110.55,2110.55,2124.42,2124.29,"531,489,000"
"Jul 14, 2015",2099.72,2098.18,2111.98,2108.95,"501,243,000"
"Jul 13, 2015",2080.03,2080.03,2100.67,2099.6,"504,047,000"
"Jul 09, 2015",2049.73,2049.73,2074.28,2051.31,"553,570,000"
"Jul 08, 2015",2077.66,2044.66,2077.66,2046.68,"372,276,000"
"Jul 07, 2015",2069.52,2044.02,2083.74,2081.34,"624,382,000"
"Jul 02, 2015",2078.03,2071.02,2085.06,2076.78,"484,440,000"
"Jun 30, 2015",2061.19,2056.32,2074.28,2063.11,"717,671,000"
"Jun 29, 2015",2098.63,2056.64,2098.63,2057.64,"586,955,000"
"Jun 26, 2015",2102.62,2095.38,2108.92,2101.49,"927,539,000"
"Jun 24, 2015",2123.65,2108.58,2125.1,2108.58,"534,019,000"
"Jun 23, 2015",2123.16,2119.89,2128.03,2124.2,"453,115,000"
"Jun 19, 2015",2121.06,2109.45,2121.64,2109.99,"1,255,422,000"
"Jun 18, 2015",2101.58,2101.58,2126.65,2121.24,"544,428,000"
"Jun 16, 2015",2084.26,2082.1,2097.4,2096.29,"410,710,000"
"Jun 15, 2015",2091.34,2072.49,2091.34,2084.43,"504,787,000"
"Jun 12, 2015",2107.43,2091.33,2107.43,2094.11,"449,503,000"
"Jun 10, 2015",2081.12,2081.12,2108.5,2105.2,"507,555,000"
"Jun 09, 2015",2079.07,2072.14,2085.62,2080.15,"488,823,000"
"Jun 05, 2015",2095.09,2085.67,2100.99,2092.83,"559,311,000"
"Jun 04, 2015",2112.35,2093.23,2112.89,2095.84,"521,557,000"
"Jun 03, 2015",2110.64,2109.61,2121.92,2114.07,"464,527,000"
"Jun 01, 2015",2108.64,2102.54,2119.15,2111.73,"488,083,000"
"May 29, 2015",2120.66,2104.89,2120.66,2107.39,"760,129,000"
"May 27, 2015",2105.13,2105.13,2126.22,2123.48,"511,248,000"
"May 26, 2015",2125.34,2099.18,2125.34,2104.2,"557,833,000"
"May 22, 2015",2130.36,2126.06,2132.15,2126.06,"423,419,000"
"May 21, 2015",2125.55,2122.95,2134.28,2130.82,"468,557,000"
"May 20, 2015",2127.79,2122.59,2134.72,2125.85,"477,723,000"
"May 18, 2015",2121.3,2120.01,2131.78,2129.2,"444,239,000"
"May 15, 2015",2122.07,2116.79,2123.89,2122.73,"609,123,000"
"May 14, 2015",2100.43,2100.43,2121.45,2121.1,"477,949,000"
"May 12, 2015",2102.87,2085.57,2105.06,2099.12,"468,682,000"
"May 11, 2015",2115.56,2104.58,2117.69,2105.33,"467,022,000"
"May 07, 2015",2079.96,2074.99,2092.9,2088,"523,758,000"
"May 06, 2015",2091.26,2067.93,2098.42,2080.15,"552,153,000"
"May 05, 2015",2112.63,2088.46,2115.24,2089.46,"532,113,000"
"May 01, 2015",2087.38,2087.38,2108.41,2108.29,"509,568,000"
"Apr 30, 2015",2105.52,2077.59,2105.52,2085.51,"686,082,000"
"Apr 28, 2015",2108.35,2094.89,2116.09,2114.76,"549,650,000"
"Apr 27, 2015",2119.29,2107.04,2125.92,2108.92,"590,999,000"
"Apr 23, 2015",2107.21,2103.19,2120.49,2112.93,"566,843,000"
"Apr 22, 2015",2098.27,2091.05,2109.98,2107.96,"505,662,000"
"Apr 21, 2015",2102.82,2094.38,2109.64,2097.29,"485,076,000"
"Apr 17, 2015",2102.58,2072.37,2102.58,2081.18,"661,794,000"
"Apr 16, 2015",2105.96,2100.02,2111.3,2104.99,"494,694,000"
"Apr 14, 2015",2092.28,2083.24,2098.62,2095.84,"449,838,000"
"Apr 13, 2015",2102.03,2092.33,2107.65,2092.43,"489,876,000"
"Apr 10, 2015",2091.51,2091.51,2102.61,2102.06,"467,375,000"
"Apr 08, 2015",2076.94,2073.3,2086.69,2081.9,"488,249,000"
"Apr 07, 2015",2080.79,2076.1,2089.81,2076.33,"436,475,000"
"Apr 02, 2015",2060.03,2057.32,2072.17,2066.96,"484,704,000"
"Apr 01, 2015",2067.63,2048.38,2067.63,2059.69,"564,988,000"
"Mar 30, 2015",2064.11,2064.11,2088.97,2086.24,"493,690,000"
