created_at,com
2016-07-15,-0.5474
2016-07-16,1.6355
2016-07-17,-1.9087
2016-07-18,2.3508000000000004
2016-07-19,3.5593000000000004
2016-07-20,3.7292000000000005
2016-07-21,11.825
2016-07-22,3.5204
2016-07-23,-4.6476
2016-07-24,-2.7081
2016-07-25,0.5797999999999999
2016-07-26,-0.8906999999999998
2016-07-27,0.5860999999999998
2016-07-28,2.2711
2016-07-29,-6.2136
2016-07-30,0.8817999999999997
2016-07-31,-2.0312
2016-08-01,-0.8542000000000003
2016-08-02,0.3458
2016-08-03,3.4039
2016-08-04,2.8349
2016-08-05,3.868099999999999
2016-08-06,-2.6635999999999997
2016-08-07,-0.06150000000000011
2016-08-08,3.9489000000000005
2016-08-09,6.340300000000001
2016-08-10,-0.19410000000000005
2016-08-11,1.5804
2016-08-12,1.4934000000000003
2016-08-13,4.6116
2016-08-14,-2.4503
2016-08-15,-0.4389
2016-08-16,-0.509
2016-08-17,0.0474
2016-08-18,0.0
2016-08-19,2.6479
2016-08-20,2.3642000000000003
2016-08-21,2.7546999999999997
2016-08-22,0.5429000000000002
2016-08-23,1.1223
2016-08-24,3.5323
2016-08-25,-0.7671
2016-08-26,-1.2272
2016-08-27,0.41429999999999995
2016-08-28,2.3716999999999997
2016-08-29,-5.432100000000001
2016-08-30,1.1844999999999999
2016-08-31,1.8618000000000001
2016-09-01,5.8914
2016-09-02,1.6697
2016-09-03,1.4442999999999997
2016-09-04,-2.0747
2016-09-05,-0.3693999999999999
2016-09-06,4.0797
2016-09-07,1.6548
2016-09-08,4.6072999999999995
2016-09-09,0.48089999999999977
2016-09-10,4.3032
2016-09-11,-0.8995
2016-09-12,0.6671
2016-09-13,3.8636
2016-09-14,5.4936
2016-09-15,6.263500000000001
2016-09-16,3.7046
2016-09-17,-3.135
2016-09-18,2.0412
2016-09-19,-1.1048
2016-09-20,2.5791000000000004
2016-09-21,2.4247
2016-09-22,2.242
2016-09-23,1.1457
2016-09-24,1.3988
2016-09-25,-0.2244
2016-09-26,0.8013000000000001
2016-09-27,15.081199999999999
2016-09-28,4.3578
2016-09-29,2.2918000000000003
2016-09-30,-1.4282999999999997
2016-10-01,0.18820000000000014
2016-10-02,1.9499000000000002
2016-10-03,1.1612
2016-10-04,3.220500000000001
2016-10-05,7.485199999999999
2016-10-06,5.6507
2016-10-07,0.0
2016-10-08,-1.217
2016-10-09,1.202
2016-10-10,2.4472
2016-10-11,3.5454
2016-10-12,0.9577
2016-10-13,1.7403
2016-10-14,0.18679999999999997
2016-10-15,0.26259999999999994
2016-10-16,-0.6242000000000002
2016-10-17,-0.1362000000000002
2016-10-18,-0.5510999999999998
2016-10-19,-2.1014000000000004
2016-10-20,5.193199999999999
2016-10-21,2.218
2016-10-22,5.3522
2016-10-23,0.6081999999999999
2016-10-24,5.979099999999999
2016-10-25,1.6464999999999996
2016-10-26,-0.04580000000000006
2016-10-27,4.7982000000000005
2016-10-28,-1.8487
2016-10-29,2.3379
2016-10-30,5.0036000000000005
2016-10-31,4.029299999999999
2016-11-01,1.5793000000000001
2016-11-02,4.2966999999999995
2016-11-03,3.8372
2016-11-04,2.6119000000000003
2016-11-05,3.7739000000000003
2016-11-06,4.8439
2016-11-07,5.0676000000000005
2016-11-08,6.644099999999998
2016-11-09,1.0168
2016-11-10,0.795
2016-11-11,2.1985
2016-11-12,0.9501
2016-11-13,2.5479000000000003
2016-11-14,
2016-11-15,1.2482
2016-11-16,-0.4033000000000001
2016-11-17,0.8271
2016-11-18,2.3056
2016-11-19,1.1163
2016-11-20,1.2719
2016-11-21,0.0
2016-11-22,2.003
2016-11-23,-0.377
2016-11-24,2.3066
2016-11-25,
2016-11-26,-0.68
2016-11-27,2.2797
2016-11-28,0.17879999999999996
2016-11-29,-1.0964999999999998
2016-11-30,4.1985
2016-12-01,2.2223
2016-12-02,0.7568
2016-12-03,1.6503
2016-12-04,-0.5199000000000001
2016-12-05,0.6648000000000001
2016-12-06,-0.8373
2016-12-07,2.1952000000000003
2016-12-08,2.1125999999999996
2016-12-09,1.5752
2016-12-10,2.7992
2016-12-11,2.3638
2016-12-12,-0.4082
2016-12-13,2.8468
2016-12-14,1.7951000000000001
2016-12-15,-0.5669
2016-12-16,1.3917000000000002
2016-12-17,2.5864
2016-12-18,0.11649999999999994
2016-12-19,0.029999999999999916
2016-12-20,2.678
2016-12-21,1.8785
2016-12-22,2.6751
2016-12-23,-1.3718
2016-12-24,-0.6289000000000001
2016-12-25,1.3940000000000001
2016-12-26,0.6537999999999999
2016-12-27,2.0563
2016-12-28,1.8847
2016-12-29,0.0
2016-12-30,1.6201
2016-12-31,0.7317000000000001
2017-01-01,4.0682
2017-01-02,0.06780000000000003
2017-01-03,0.9393
2017-01-04,-2.1774000000000004
2017-01-05,-0.8534999999999999
2017-01-06,4.3765
2017-01-07,2.9157
2017-01-08,0.9424000000000003
2017-01-09,-1.06
2017-01-10,2.4530000000000003
2017-01-11,-1.7054
2017-01-12,1.6012999999999997
2017-01-13,0.1896000000000001
2017-01-14,-0.7867000000000001
2017-01-15,-0.3024
2017-01-16,0.09099999999999997
2017-01-17,2.3265000000000002
2017-01-18,0.5812999999999999
2017-01-19,3.5399
2017-01-20,2.2059
2017-01-21,1.6842
2017-01-22,0.9776
2017-01-23,0.4939
2017-01-24,1.4169
2017-01-25,0.4711000000000001
2017-01-26,0.6542000000000002
2017-01-27,2.0101
2017-01-28,-0.45009999999999994
2017-01-29,-2.8236
2017-01-30,-1.0943000000000005
2017-01-31,-0.10929999999999995
2017-02-01,1.2497
2017-02-02,0.3282
2017-02-03,-0.25790000000000013
2017-02-04,-4.3407
2017-02-05,1.1167
2017-02-06,-0.24429999999999996
2017-02-07,-2.7571000000000008
2017-02-08,1.5145
2017-02-09,1.2362000000000002
2017-02-10,-0.48949999999999994
2017-02-11,3.9996
2017-02-12,-1.8062
2017-02-13,1.0812
2017-02-14,1.3242000000000003
2017-02-15,-0.5092
2017-02-16,-1.138
2017-02-17,0.3194999999999999
2017-02-18,0.3036
2017-02-19,0.0
2017-02-20,1.5829000000000002
2017-02-21,-0.1562
2017-02-22,1.2743
2017-02-23,0.0
2017-02-24,-1.5220999999999998
2017-02-25,2.1527000000000003
2017-02-26,-1.6333
2017-02-27,1.2872
2017-02-28,0.5411
2017-03-01,0.7159
2017-03-02,0.7734
2017-03-03,-0.5853000000000003
2017-03-04,-1.2227000000000001
2017-03-05,0.6960999999999999
2017-03-06,1.6602
2017-03-07,1.7703000000000002
2017-03-08,3.7403000000000004
2017-03-09,2.4046
2017-03-10,0.07850000000000001
2017-03-11,0.6239
2017-03-12,0.0
2017-03-13,0.7751
2017-03-14,0.8955
2017-03-15,0.6218000000000001
2017-03-16,4.3624
2017-03-17,3.1515000000000004
2017-03-18,1.0366
2017-03-19,0.0
2017-03-20,-0.2545999999999999
2017-03-21,2.4478
2017-03-22,-0.1759
2017-03-23,-0.8048000000000001
2017-03-24,1.7281
2017-03-25,2.5236
2017-03-26,0.9392
2017-03-27,0.6249
